count,action,delay,duration,duration_of_vehicles_left,emergency,flickering,num_of_vehicles_at_entering,num_of_vehicles_in_system,num_of_vehicles_left,partial_duration,queue_length,wait_time
559.0, 0, 5.456486636389312, 280.8166666666663, 0, 0.0, 0, 173, 204, 0, 211.98333333333338, 55, 4.083333333333333
560.0, 0, 5.559850866166105, 282.8666666666667, 0.8333333333333334, 0.0, 0, 175, 208, 2, 214.33333333333334, 57, 4.333333333333334
561.0, 0, 5.4472660509449495, 285.7833333333334, 0, 0.0, 0, 175, 208, 0, 216.71666666666667, 58, 4.766666666666667
562.0, 0, 5.342846363147894, 288.70000000000005, 0, 0.0, 0, 177, 210, 0, 219.14999999999998, 59, 5.1
563.0, 0, 5.371444079075646, 291.65000000000015, 0, 0.0, 0, 177, 208, 0, 221.60000000000002, 57, 5.383333333333334
564.0, 0, 5.375328590684693, 294.19999999999976, 0.4, 0.0, 0, 176, 206, 1, 224.06666666666666, 61, 5.966666666666667
565.0, 0, 5.699263202779667, 297.1333333333333, 0, 0.0, 0, 180, 209, 0, 226.55000000000004, 66, 6.683333333333333
566.0, 1, 5.675000810044518, 300.1333333333334, 0, 0.0, 1, 180, 206, 0, 229.06666666666663, 61, 6.333333333333334
567.0, 0, 5.573423859177412, 289.15000000000003, 13.983333333333333, 0.0, 0, 178, 206, 4, 219.51666666666665, 57, 5.866666666666666
568.0, 0, 5.576743142188991, 292.1166666666668, 0, 0.0, 0, 178, 206, 0, 222.03333333333327, 57, 5.55
569.0, 0, 5.627408359668744, 295.08333333333303, 0, 0.0, 0, 178, 206, 0, 224.5666666666666, 54, 5.083333333333333
570.0, 0, 5.821943963818045, 287.70000000000005, 10.35, 0.0, 0, 179, 210, 3, 217.96666666666667, 53, 4.933333333333333
571.0, 0, 5.861242344728878, 287.16666666666674, 3.5166666666666666, 0.0, 0, 178, 210, 1, 217.38333333333333, 51, 4.749999999999999
572.0, 0, 5.878082781097032, 283.4333333333334, 6.7, 0.0, 0, 178, 212, 2, 214.08333333333337, 54, 4.783333333333333
573.0, 0, 5.9151096834690335, 279.41666666666674, 6.983333333333333, 0.0, 0, 176, 212, 2, 210.33333333333334, 52, 4.3999999999999995
574.0, 0, 5.981378072316906, 282.3499999999997, 0, 0.0, 0, 176, 212, 0, 212.76666666666668, 56, 4.5
575.0, 0, 6.175837854490145, 275.1833333333334, 10.1, 0.0, 0, 177, 216, 3, 206.2333333333333, 51, 4.216666666666666
576.0, 0, 6.176728992385158, 278.1333333333334, 0, 0.0, 0, 177, 214, 0, 208.6166666666667, 51, 4.05
577.0, 0, 6.13732706463757, 281.0833333333334, 0, 0.0, 0, 179, 214, 0, 211.01666666666665, 51, 4.166666666666666
578.0, 0, 6.187247944218156, 284.06666666666683, 0, 0.0, 0, 179, 212, 0, 213.4333333333334, 52, 4.199999999999999
579.0, 1, 6.233903508044252, 287.04999999999967, 0, 0.0, 1, 179, 209, 0, 215.85000000000002, 51, 3.6833333333333336
580.0, 0, 5.965913482942807, 287.70000000000005, 2.3333333333333335, 0.0, 0, 179, 213, 4, 217.75000000000006, 53, 3.8833333333333333
581.0, 0, 5.908872034314767, 290.6833333333334, 0, 0.0, 0, 179, 210, 0, 220.1, 54, 3.816666666666667
582.0, 0, 5.836325678429621, 293.66666666666674, 0, 0.0, 0, 181, 211, 0, 222.45, 54, 3.983333333333333
583.0, 0, 5.399923270947823, 295.2000000000001, 1.4833333333333334, 0.0, 0, 178, 211, 3, 224.68333333333325, 58, 4.083333333333333
584.0, 0, 5.403326509182141, 298.1666666666664, 0, 0.0, 0, 178, 211, 0, 227.06666666666658, 58, 4.283333333333333
585.0, 0, 5.608750513246634, 300.7166666666667, 0.4166666666666667, 0.0, 0, 181, 215, 1, 229.44999999999996, 62, 4.466666666666667
586.0, 0, 5.414814909404531, 303.30000000000007, 0.43333333333333335, 0.0, 0, 180, 215, 1, 231.86666666666665, 60, 4.733333333333333
587.0, 0, 5.313328935267693, 306.3, 0, 0.0, 0, 182, 217, 0, 234.30000000000004, 63, 5.083333333333333
588.0, 0, 5.28274481943494, 309.33333333333354, 0, 0.0, 0, 182, 217, 0, 236.78333333333336, 65, 5.433333333333334
589.0, 0, 5.321191492988758, 311.56666666666655, 0.8, 0.0, 0, 180, 216, 2, 239.28333333333333, 66, 5.75
590.0, 0, 5.537884121987849, 314.5666666666666, 0, 0.0, 0, 184, 218, 0, 241.83333333333331, 65, 6.033333333333333
591.0, 0, 5.437910589623517, 317.6333333333333, 0, 0.0, 0, 184, 217, 0, 244.41666666666663, 64, 6.416666666666667
592.0, 1, 5.371382244049289, 317.00000000000006, 3.7, 0.0, 1, 185, 215, 1, 243.66666666666669, 63, 6.183333333333334
593.0, 0, 5.43472395823094, 309.33333333333354, 10.75, 0.0, 0, 182, 214, 3, 236.5666666666667, 64, 5.7666666666666675
594.0, 0, 5.4901408625384, 312.36666666666645, 0, 0.0, 0, 182, 212, 0, 239.16666666666677, 59, 5.366666666666666
595.0, 0, 5.831261400399678, 315.4, 0, 0.0, 0, 186, 216, 0, 241.7833333333334, 57, 5.016666666666667
596.0, 0, 5.832200042455216, 304.16666666666674, 14.333333333333332, 0.0, 0, 182, 216, 4, 231.65000000000003, 60, 4.8
597.0, 0, 5.764862587690304, 307.20000000000005, 0, 0.0, 0, 184, 218, 0, 234.3, 52, 4.333333333333334
598.0, 0, 5.81314135947393, 310.26666666666677, 0, 0.0, 0, 184, 218, 0, 236.96666666666664, 53, 4.55
599.0, 0, 5.902712474283715, 299.1333333333331, 14.2, 0.0, 0, 180, 218, 4, 227.34999999999994, 57, 4.783333333333332
600.0, 0, 6.071361122269339, 302.1333333333334, 0, 0.0, 0, 184, 222, 0, 229.9833333333333, 54, 4.499999999999999
601.0, 0, 6.124728726376546, 294.46666666666675, 10.733333333333334, 0.0, 0, 181, 222, 3, 223.28333333333333, 56, 4.283333333333332
602.0, 0, 6.098136421369196, 297.48333333333335, 0, 0.0, 0, 183, 223, 0, 225.90000000000003, 51, 4.1499999999999995
603.0, 0, 6.14641689600046, 300.5333333333335, 0, 0.0, 0, 183, 220, 0, 228.51666666666668, 51, 4.1
604.0, 0, 6.182558270634674, 303.5833333333331, 0, 0.0, 0, 183, 219, 0, 231.13333333333335, 52, 4.133333333333334
605.0, 1, 6.293407455479943, 306.6333333333333, 0, 0.0, 1, 187, 220, 0, 233.75, 50, 3.6166666666666667
606.0, 0, 5.786469492734117, 307.5166666666667, 2.2333333333333334, 0.0, 0, 183, 217, 4, 235.88333333333327, 49, 3.583333333333333
607.0, 0, 5.685522772274177, 310.56666666666666, 0, 0.0, 0, 185, 217, 0, 238.43333333333337, 50, 3.5
608.0, 0, 5.676349041964882, 313.65000000000015, 0, 0.0, 0, 185, 216, 0, 240.9833333333333, 52, 3.383333333333333
609.0, 0, 5.536327104748402, 316.24999999999983, 0.48333333333333334, 0.0, 0, 184, 215, 1, 243.53333333333342, 54, 3.6333333333333333
610.0, 0, 5.563090087028263, 318.3999999999999, 0.9166666666666667, 0.0, 0, 186, 219, 2, 246.08333333333331, 54, 3.5
611.0, 0, 5.412135845987747, 321.06666666666666, 0.43333333333333335, 0.0, 0, 185, 219, 1, 248.65000000000006, 56, 3.916666666666667
612.0, 0, 5.316081481389476, 324.1500000000001, 0, 0.0, 0, 187, 221, 0, 251.23333333333326, 60, 4.1
613.0, 0, 5.327417721591722, 327.2666666666668, 0, 0.0, 0, 187, 221, 0, 253.8166666666667, 62, 4.666666666666667
614.0, 0, 5.352864644175303, 329.5833333333332, 0.8, 0.0, 0, 185, 221, 2, 256.40000000000003, 64, 5.033333333333333
615.0, 0, 5.538895061139919, 332.66666666666646, 0, 0.0, 0, 189, 224, 0, 259.0, 63, 5.483333333333333
